draw,arm,gas_sigma,co2_sigma,gas_shift,co2_shift,mean_spread,separated_pct
5,cnec,1.048992,1.827961,9.591113,13.787036,38.737636,88.888889
6,cnec,0.137185,0.765495,1.254307,5.773599,32.972964,87.847222
7,cnec,0.180876,-1.178794,1.653784,-8.890823,27.261189,88.888889
8,cnec,-0.726146,-0.936657,-6.639270,-7.064553,25.689629,86.805556
9,cnec,0.031736,0.328496,0.290167,2.477615,31.328402,87.847222
10,cnec,-0.146882,1.714839,-1.342964,12.933833,35.469025,87.500000
11,cnec,0.340603,0.364038,3.114187,2.745684,32.138602,87.500000
12,cnec,0.281521,-0.432807,2.573990,-3.264358,29.674564,88.888889
13,cnec,-1.104597,-0.833954,-10.099512,-6.289933,25.394199,87.500000
14,cnec,0.538449,-0.060128,4.923133,-0.453506,31.637577,88.888889
15,cnec,-0.668212,-0.770415,-6.109576,-5.810702,26.304109,86.805556
16,cnec,1.197022,-0.727034,10.944571,-5.483507,31.614652,88.194444
17,cnec,0.238674,0.350753,2.182239,2.645486,31.826405,87.152778
18,cnec,-2.083870,0.171015,-19.053177,1.289849,27.127034,90.625000
19,cnec,-0.569262,0.276542,-5.204858,2.085761,29.877678,87.152778
20,cnec,-1.368704,0.548568,-12.514294,4.137464,29.644057,88.888889
21,cnec,-0.826108,-2.747357,-7.553241,-20.721402,20.096670,88.194444
22,cnec,0.361224,0.113311,3.302732,0.854625,31.452152,88.194444
23,cnec,-2.034675,-0.688846,-18.603378,-5.195487,24.363449,89.583333
24,cnec,-0.450022,-1.526510,-4.114629,-11.513400,24.421859,87.847222
25,cnec,1.134207,1.735230,10.370242,13.087630,38.733612,88.888889
26,cnec,0.742427,1.239212,6.788137,9.346515,36.010755,88.888889
27,cnec,-1.609917,-0.611588,-14.719742,-4.612785,25.457375,88.541667
28,cnec,-1.502852,-0.664543,-13.740825,-5.012187,25.443389,88.194444
29,cnec,-0.041075,0.404953,-0.375554,3.054279,31.419813,88.541667
30,cnec,-2.420971,-1.215444,-22.135342,-9.167248,21.613997,90.277778
31,cnec,-1.136930,-0.693633,-10.395139,-5.231589,25.824333,87.847222
32,cnec,-1.005003,-0.270930,-9.188914,-2.043434,27.395589,87.847222
33,cnec,1.275404,1.810060,11.661228,13.652019,39.355180,88.888889
34,cnec,0.781727,0.758113,7.147457,5.717916,34.770739,88.888889
35,cnec,-0.089200,2.308047,-0.815569,17.407988,37.623181,87.847222
36,cnec,-0.744382,-1.086713,-6.806013,-8.196316,25.174543,86.805556
37,cnec,0.987486,-0.067784,9.028755,-0.511248,32.953486,88.888889
38,cnec,-0.121814,0.557868,-1.113767,4.207608,31.746187,87.847222
39,cnec,-0.297779,-0.250337,-2.722643,-1.888116,28.736580,88.194444
40,cnec,0.580996,0.974336,5.312140,7.348739,34.683174,88.541667
41,cnec,-0.158012,-0.715770,-1.444732,-5.398553,27.529522,87.500000
42,cnec,-1.443540,-1.096104,-13.198533,-8.267149,24.121794,88.194444
43,cnec,-0.236189,0.314682,-2.159513,2.373427,30.697925,86.805556
44,cnec,0.086571,0.184545,0.791530,1.391892,30.913609,87.500000
45,cnec,0.494676,0.221072,4.522906,1.667392,32.269456,88.541667
46,cnec,-0.022110,0.393309,-0.202156,2.966457,31.415413,88.194444
47,cnec,-0.330310,-0.796405,-3.020076,-6.006727,26.932502,88.194444
48,cnec,0.456290,0.616913,4.171933,4.652942,33.232249,88.194444
49,cnec,1.459019,0.692542,13.340060,5.223360,36.350370,88.541667
50,cnec,0.022777,0.131268,0.208251,0.990064,30.651565,87.847222
51,cnec,1.334060,1.687591,12.197536,12.728325,39.126158,88.888889
52,cnec,-0.479891,0.459232,-4.387726,3.463664,30.624400,87.152778
